id,declarationId,type,hsCode,description,originCountry,destinationCountry,value,currency,weight,declarantTin,declarantName,portOfEntry,date,status,getFundLevy,nhilLevy,covidLevy,vatRate,ecowasOrigin,atgApplicable,sector,riskScore,violationCount,recoveryAmount
DECL-000001,D202539018,import,87032100,"Motor cars and motor wagons, with spark-ignition engine of <= 1000cc",SN,GH,180413.65,USD,41056.91,TIN4413552,"Takoradi International",KOTOKA,2025-02-04,flagged,4510.34125,4510.34125,1804.1365,15,true,false,vehicles,82.14,1,24682.12
DECL-000002,D202550201,import,52070000,"Yarn of cotton, containing less than 85% by weight of cotton",BJ,CI,14664.65,USD,23072.87,TIN3869080,"ECOWAS Imports",KUMASI,2025-12-05,approved,366.61625000000004,366.61625000000004,146.6465,15,true,false,textiles,31.69,0,0
DECL-000003,D202557575,import,87032200,"Motor cars and motor wagons, with spark-ignition engine of > 1000cc & <= 1500cc",JP,TG,302304.08,USD,30320.06,TIN2876462,"West Africa Company Ltd",TEMA,2024-02-07,flagged,7557.602000000001,7557.602000000001,3023.0408,15,false,false,vehicles,92.07,1,39577.73
DECL-000004,D202511178,export,52070000,"Yarn of cotton, containing less than 85% by weight of cotton",US,GH,83402.28,USD,10993.97,TIN9648945,"Tema International",KUMASI,2025-04-30,approved,2085.0570000000002,2085.0570000000002,834.0228,15,false,false,textiles,11.09,0,0
DECL-000005,D202553528,transit,87019000,"Motor vehicles for the transport of goods",US,CI,320746.91,USD,40162.43,TIN3450247,"Accra Group",TAKORADI,2025-03-18,approved,8018.67275,8018.67275,3207.4691,15,false,false,vehicles,11.55,0,0
DECL-000006,D202589862,transit,52010000,"Cotton, not carded or combed",CN,GH,111938.08,USD,26697.79,TIN9796717,"ECOWAS Imports",KUMASI,2024-11-28,approved,2798.452,2798.452,1119.3808000000001,15,false,false,textiles,39.46,0,0
DECL-000007,D202568380,export,52050000,"Cotton waste (including yarn waste and garnetted stock)",GB,BF,313247.62,USD,17934.74,TIN7049194,"Tema Trading",TAMALE,2025-06-29,flagged,7831.190500000001,7831.190500000001,3132.4762,15,false,false,textiles,82.01,1,80844.05
DECL-000008,D202530106,export,87019000,"Motor vehicles for the transport of goods",CI,BF,46839.47,USD,36311.97,TIN4978055,"Kumasi Imports",TAKORADI,2025-09-10,approved,1170.98675,1170.98675,468.3947,15,true,false,vehicles,37.94,0,0
DECL-000009,D202538567,transit,27132000,"Petroleum bitumen, petroleum coke",IN,BF,346213.64,USD,26261.58,TIN8715885,"ECOWAS Group",TAKORADI,2024-07-26,flagged,8655.341,8655.341,3462.1364000000003,15,false,true,petroleum,87.33,1,129376.15
DECL-000010,D202528483,transit,27111200,"Propane, liquefied",US,GH,476930.88,USD,1698.93,TIN3606631,"Kumasi Exports",TAMALE,2024-02-01,flagged,11923.272,11923.272,4769.3088,15,false,true,petroleum,74.88,1,73889.31
DECL-000011,D202573482,transit,87032400,"Motor cars and motor wagons, with spark-ignition engine of > 3000cc",US,GH,184758.7,USD,25927.95,TIN7060755,"Tema Company Ltd",TEMA,2024-03-19,approved,4618.967500000001,4618.967500000001,1847.5870000000002,15,false,false,vehicles,39.82,0,0
DECL-000012,D202587917,import,27111200,"Propane, liquefied",US,GH,319694.75,USD,37872.89,TIN5030558,"Accra Exports",KUMASI,2025-12-05,flagged,7992.368750000001,7992.368750000001,3196.9475,15,false,true,petroleum,94.94,1,157084.16
DECL-000013,D202533594,transit,27111990,"Other liquefied petroleum gases",TG,TG,272331.66,USD,44032.98,TIN2044685,"Ghana Corporation",TAMALE,2025-02-09,flagged,6808.291499999999,6808.291499999999,2723.3165999999997,15,true,true,petroleum,84.03,1,106533.76
DECL-000014,D202559501,import,27090010,"Petroleum oils and oils obtained from bituminous minerals, crude",BR,GH,162206.68,USD,7461.72,TIN8833787,"Ghana International",TAKORADI,2025-02-19,flagged,4055.167,4055.167,1622.0668,15,false,false,petroleum,61.34,1,22226.26
DECL-000015,D202556626,export,52050000,"Cotton waste (including yarn waste and garnetted stock)",BF,TG,120638.35,USD,20022.83,TIN8714176,"Tema Enterprises",TAKORADI,2024-07-05,approved,3015.9587500000002,3015.9587500000002,1206.3835000000001,15,true,false,textiles,34.97,0,0
DECL-000016,D202585246,import,27101990,"Petroleum oils and oils obtained from bituminous minerals (other)",NG,CI,407776,USD,8542.31,TIN3765478,"Accra Trading",KOTOKA,2025-11-12,flagged,10194.400000000001,10194.400000000001,4077.76,15,true,true,petroleum,75.97,1,173352.35
DECL-000017,D202539267,transit,52050000,"Cotton waste (including yarn waste and garnetted stock)",NE,GH,431334.32,USD,23478.71,TIN7400903,"ECOWAS Corporation",TAMALE,2024-02-16,approved,10783.358,10783.358,4313.3432,15,true,false,textiles,32.05,0,0
DECL-000018,D202594879,transit,87032200,"Motor cars and motor wagons, with spark-ignition engine of > 1000cc & <= 1500cc",CI,GH,320417.66,USD,4959.99,TIN7424232,"Kumasi Corporation",TAKORADI,2025-01-12,flagged,8010.4415,8010.4415,3204.1766,15,true,false,vehicles,71.91,1,91284.88
DECL-000019,D202566995,export,52070000,"Yarn of cotton, containing less than 85% by weight of cotton",CN,TG,28393.61,USD,38206.8,TIN9780503,"ECOWAS Imports",TAKORADI,2024-04-21,approved,709.8402500000001,709.8402500000001,283.9361,15,false,false,textiles,10.82,0,0
DECL-000020,D202510131,transit,87019000,"Motor vehicles for the transport of goods",JP,TG,121151.6,USD,29445.03,TIN9629942,"Ghana Enterprises",TEMA,2025-10-18,flagged,3028.7900000000004,3028.7900000000004,1211.516,15,false,false,vehicles,66.2,1,59099.54
DECL-000021,D202569915,transit,27111990,"Other liquefied petroleum gases",IN,TG,285912.33,USD,9307.59,TIN7584901,"Ghana Company Ltd",TAMALE,2025-11-27,approved,7147.808250000001,7147.808250000001,2859.1233,15,false,false,petroleum,19.46,0,0
DECL-000022,D202517209,transit,87032300,"Motor cars and motor wagons, with spark-ignition engine of > 1500cc & <= 3000cc",SL,BF,320180.23,USD,11132.92,TIN5950936,"Kumasi International",TAMALE,2025-11-15,flagged,8004.50575,8004.50575,3201.8023,15,true,false,vehicles,62.3,1,95940.53
DECL-000023,D202555375,import,27132000,"Petroleum bitumen, petroleum coke",KR,CI,499691.74,USD,5325.89,TIN5387576,"Takoradi Company Ltd",TAMALE,2025-08-12,flagged,12492.2935,12492.2935,4996.9174,15,false,true,petroleum,61.16,1,175982.37
DECL-000024,D202564413,export,27111990,"Other liquefied petroleum gases",SL,TG,110178.61,USD,41721.45,TIN1918569,"Ghana International",TAKORADI,2024-04-24,approved,2754.46525,2754.46525,1101.7861,15,true,false,petroleum,25.22,0,0
DECL-000025,D202527427,export,52070000,"Yarn of cotton, containing less than 85% by weight of cotton",JP,GH,404899.02,USD,17609.07,TIN5664142,"Accra Trading",TAKORADI,2025-10-06,approved,10122.4755,10122.4755,4048.9902,15,false,false,textiles,36.2,0,0
DECL-000026,D202513314,import,27111200,"Propane, liquefied",NG,BF,37531.57,USD,45497.19,TIN6257313,"ECOWAS Group",KUMASI,2025-02-10,flagged,938.28925,938.28925,375.3157,15,true,false,petroleum,88.5,1,13968.08
DECL-000027,D202512904,export,52050000,"Cotton waste (including yarn waste and garnetted stock)",KR,CI,362363.67,USD,10383.91,TIN1379139,"Takoradi Company Ltd",TAKORADI,2024-03-20,approved,9059.09175,9059.09175,3623.6367,15,false,false,textiles,36.26,0,0
DECL-000028,D202558996,transit,52060000,"Yarn of cotton, containing 85% or more by weight of cotton",KR,TG,309004.94,USD,9016.32,TIN8027647,"Ghana Imports",TAMALE,2024-06-13,approved,7725.123500000001,7725.123500000001,3090.0494,15,false,false,textiles,14,0,0
DECL-000029,D202591253,export,52070000,"Yarn of cotton, containing less than 85% by weight of cotton",GB,TG,420573.94,USD,43085.08,TIN3470289,"ECOWAS International",KUMASI,2025-05-09,flagged,10514.3485,10514.3485,4205.7394,15,false,false,textiles,82.55,1,174001.18
DECL-000030,D202525640,transit,52050000,"Cotton waste (including yarn waste and garnetted stock)",JP,TG,286820.96,USD,20198.49,TIN1763204,"ECOWAS Imports",KUMASI,2024-02-01,flagged,7170.524000000001,7170.524000000001,2868.2096,15,false,false,textiles,67.63,1,66021.09
DECL-000031,D202595128,import,27111200,"Propane, liquefied",GB,BF,51221.2,USD,41690.77,TIN3403401,"West Africa Corporation",TEMA,2025-04-06,flagged,1280.53,1280.53,512.212,15,false,true,petroleum,93.04,1,20612.43
DECL-000032,D202567815,import,87032200,"Motor cars and motor wagons, with spark-ignition engine of > 1000cc & <= 1500cc",DE,TG,296794.28,USD,3296.04,TIN9236227,"Ghana Corporation",TEMA,2025-12-01,flagged,7419.857000000001,7419.857000000001,2967.9428000000003,15,false,false,vehicles,68.81,1,89507.69
DECL-000033,D202535243,import,52030000,"Cotton, carded or combed",KR,GH,268115.97,USD,2999.35,TIN8535290,"ECOWAS Enterprises",TAMALE,2025-06-09,flagged,6702.8992499999995,6702.8992499999995,2681.1596999999997,15,false,false,textiles,76.65,1,95899.63
DECL-000034,D202532258,transit,87032300,"Motor cars and motor wagons, with spark-ignition engine of > 1500cc & <= 3000cc",BR,TG,98131.72,USD,46874.39,TIN4815904,"Tema Corporation",TAMALE,2024-04-19,approved,2453.293,2453.293,981.3172000000001,15,false,false,vehicles,32.53,0,0
DECL-000035,D202510122,export,27111990,"Other liquefied petroleum gases",NG,GH,279247.55,USD,38096.55,TIN9612550,"Accra Company Ltd",TEMA,2025-12-17,flagged,6981.18875,6981.18875,2792.4755,15,true,true,petroleum,71.22,1,134188
DECL-000036,D202574740,import,27111200,"Propane, liquefied",DE,BF,213245.86,USD,43465.2,TIN6733776,"Tema Corporation",KOTOKA,2025-09-01,flagged,5331.1465,5331.1465,2132.4586,15,false,true,petroleum,92.1,1,99763.75
DECL-000037,D202513065,export,52010000,"Cotton, not carded or combed",DE,TG,326707.46,USD,29003.59,TIN1689273,"Tema Enterprises",KUMASI,2025-09-19,approved,8167.686500000001,8167.686500000001,3267.0746000000004,15,false,false,textiles,35.08,0,0
DECL-000038,D202566364,export,87032300,"Motor cars and motor wagons, with spark-ignition engine of > 1500cc & <= 3000cc",JP,TG,274583.88,USD,43081.62,TIN8482473,"Takoradi International",KUMASI,2024-12-15,flagged,6864.597000000001,6864.597000000001,2745.8388,15,false,false,vehicles,66.93,1,91080.01
DECL-000039,D202532332,export,87032300,"Motor cars and motor wagons, with spark-ignition engine of > 1500cc & <= 3000cc",SN,CI,371632.16,USD,40813.17,TIN2671425,"Tema Group",TEMA,2024-02-25,flagged,9290.804,9290.804,3716.3215999999998,15,true,false,vehicles,90.59,1,138856.01
DECL-000040,D202552292,export,27111990,"Other liquefied petroleum gases",KR,CI,183985.24,USD,46422.76,TIN7775595,"West Africa Corporation",KOTOKA,2024-10-27,flagged,4599.631,4599.631,1839.8524,15,false,true,petroleum,82.65,1,74501.4
DECL-000041,D202531640,import,27101990,"Petroleum oils and oils obtained from bituminous minerals (other)",DE,CI,134188.76,USD,5671.12,TIN5893098,"West Africa Group",TAKORADI,2024-12-30,flagged,3354.7190000000005,3354.7190000000005,1341.8876,15,false,true,petroleum,60.83,1,45995.56
DECL-000042,D202598950,import,87032400,"Motor cars and motor wagons, with spark-ignition engine of > 3000cc",DE,TG,116839.89,USD,21312.79,TIN3265624,"West Africa Imports",KOTOKA,2025-07-11,flagged,2920.9972500000003,2920.9972500000003,1168.3989,15,false,false,vehicles,93.41,1,46059.07
DECL-000043,D202527451,import,87032200,"Motor cars and motor wagons, with spark-ignition engine of > 1000cc & <= 1500cc",NE,TG,379396.02,USD,10639.22,TIN9754173,"West Africa Enterprises",TAMALE,2024-07-13,flagged,9484.900500000002,9484.900500000002,3793.9602000000004,15,true,false,vehicles,78.58,1,63058.49
DECL-000044,D202517619,transit,27090010,"Petroleum oils and oils obtained from bituminous minerals, crude",CI,CI,489298.14,USD,30733.31,TIN2804582,"West Africa International",TAKORADI,2024-10-27,flagged,12232.453500000001,12232.453500000001,4892.981400000001,15,true,true,petroleum,80.48,1,66906.21
DECL-000045,D202539624,transit,52010000,"Cotton, not carded or combed",SN,BF,72701.86,USD,32620.37,TIN4136143,"ECOWAS Enterprises",TEMA,2024-11-18,flagged,1817.5465000000002,1817.5465000000002,727.0186,15,true,false,textiles,86.24,1,12206.89
DECL-000046,D202596340,export,87032300,"Motor cars and motor wagons, with spark-ignition engine of > 1500cc & <= 3000cc",JP,BF,306239.46,USD,6778.52,TIN3475471,"Ghana Enterprises",TAKORADI,2024-09-19,approved,7655.986500000001,7655.986500000001,3062.3946,15,false,false,vehicles,12.46,0,0
DECL-000047,D202518654,transit,52010000,"Cotton, not carded or combed",DE,BF,149574.96,USD,48335.88,TIN9838964,"Accra Company Ltd",KUMASI,2024-04-09,flagged,3739.374,3739.374,1495.7495999999999,15,false,false,textiles,74.82,1,68616.05
